
160,Mining Machinery  Equip (No Oil  Gas Field Mach  Equip)
161,Oil  Gas Field Machinery  Equipment
162,Industrial Trucks Tractors Trailers  Stackers
163,Metalworkg Machinery  Equipment
164,Machine Tools Metal Cutting Types
165,Special Industry Machinery (No Metalworking Machinery)
166,Printing Trades Machinery  Equipment
167,Special Industry Machinery NEC
168,General Industrial Machinery  Equipment
169,Pumps  Pumping Equipment
170,Ball  Roller Bearings
171,Industrial  Commercial Fans  Blowers  Air Purifying Equip
172,Industrial Process Furnaces  Ovens
173,General Industrial Machinery  Equipment NEC
174,Computer  office Equipment
175,Electronic Computers
176,Computer Storage Devices
177,Computer Terminals
178,Computer Communications Equipment
179,Computer Peripheral Equipment NEC
180,Calculating  Accounting Machines (No Electronic Computers)
181,Office Machines NEC
182,Refrigeration  Service Industry Machinery
183,Air-Cond  Warm Air Heatg Equip  Comm  Indl Refrig Equip
184,Misc Industrial  Commercial Machinery  Equipment
185,Electronic  Other Electrical Equipment (No Computer Equip)
186,Power Distribution  Specialty Transformers
187,Switchgear  Switchboard Apparatus
188,Electrical Industrial Apparatus
189,Motors  Generators
190,Household Appliances
191,Electric Housewares  Fans
192,
193,Electric Lighting  Wiring Equipment
194,Household Audio  Video Equipment
195,Phonograph Records  Prerecorded Audio Tapes  Disks
196,Telephone  Telegraph Apparatus
197,Radio  TV Broadcasting  Communications Equipment
198,Communications Equipment NEC
199,Electronic Components  Accessories
200,Printed Circuit Boards
201,Semiconductors  Related Devices
202,Electronic Coils Transformers  Other Inductors
203,Electronic Connectors
204,Electronic Components NEC
205,Miscellaneous Electrical Machinery Equipment  Supplies
206,Magnetic  Optical Recording Media
207,Motor Vehicles  Passenger Car Bodies
208,Truck  Bus Bodies
209,Motor Vehicle Parts  Accessories
210,Truck Trailers
211,Motor Homes
212,Aircraft  Parts
213,Aircraft
214,Aircraft Engines  Engine Parts
215,Aircraft Parts  Auxiliary Equipment NEC
216,Ship  Boat Building  Repairing
217,Railroad Equipment
218,Motorcycles Bicycles  Parts
219,Guided Missiles  Space Vehicles  Parts
220,Miscellaneous Transportation Equipment
221,Search Detection Navigation Guidance Aeronautical Sys
222,Laboratory Apparatus  Furniture
223,Auto Controls For Regulating Residential  Comml Environments
224,Industrial Instruments For Measurement Display and Control
225,Totalizing Fluid Meters  Counting Devices
226,Instruments For Meas  Testing of Electricity  Elec Signals
227,Laboratory Analytical Instruments
228,Optical Instruments  Lenses
229,Measuring  Controlling Devices NEC
230,Surgical  Medical Instruments  Apparatus
231,
232,Orthopedic Prosthetic  Surgical Appliances  Supplies
233,Dental Equipment  Supplies
234,X-Ray Apparatus  Tubes  Related Irradiation Apparatus
235,Electromedical  Electrotherapeutic Apparatus
236,Ophthalmic Goods
237,Photographic Equipment  Supplies
238,Watches Clocks Clockwork Operated Devices/Parts
239,Jewelry Silverware  Plated Ware
240,Jewelry Precious Metal
241,Musical Instruments
242,Dolls  Stuffed Toys
243,Games Toys  Children's Vehicles (No Dolls  Bicycles)
244,Sporting  Athletic Goods NEC
245,Pens Pencils  Other Artists' Materials
246,Costume Jewelry  Novelties
247,Miscellaneous Manufacturing Industries
248,Railroads Line-Haul Operating
249,Railroad Switching  Terminal Establishments
250,Local  Suburban Transit  Interurban Hwy Passenger Trans
251,Trucking  Courier Services (No Air)
252,Trucking (No Local)
253,Public Warehousing  Storage
254,Terminal Maintenance Facilities For Motor Freight Transport
255,Water Transportation
256,Deep Sea Foreign Transportation of Freight
257,Air Transportation Scheduled
258,Air Courier Services
259,Air Transportation Nonscheduled
260,Airports Flying Fields  Airport Terminal Services
261,Pipe Lines (No Natural Gas)
262,Transportation Services
263,Arrangement of Transportation of Freight  Cargo
264,Radiotelephone Communications
265,Telephone Communications (No Radiotelephone)
266,Telegraph  Other Message Communications
267,Radio Broadcasting Stations
268,Television Broadcasting Stations
269,Cable  Other Pay Television Services
270,
271,Communications Services NEC
272,Electric Gas  Sanitary Services
273,Electric Services
274,Natural Gas Transmission
275,Natural Gas Transmission  Distribution
276,Natural Gas Distribution
277,Electric  Other Services Combined
278,Gas  Other Services Combined
279,Water Supply
280,Sanitary Services
281,Refuse Systems
282,Hazardous Waste Management
283,Steam  Air-Conditioning Supply
284,Co-generation Services  Small Power Producers
285,Wholesale-Durable Goods
286,Wholesale-Motor Vehicles  Motor Vehicle Parts  Supplies
287,Wholesale-Motor Vehicle Supplies  New Parts
288,Wholesale-Furniture  Home Furnishings
289,Wholesale-Lumber  Other Construction Materials
290,Wholesale-Lumber Plywood millwork  Wood Panels
291,Wholesale-Professional  Commercial Equipment  Supplies
292,Wholesale-Computers  Peripheral Equipment  Software
293,Wholesale-Medical Dental  Hospital Equipment  Supplies
294,Wholesale-Metals  Minerals (No Petroleum)
295,Wholesale-Metals Service Centers  Offices
296,Wholesale-Electrical Apparatus  Equipment Wiring Supplies
297,Wholesale-Electrical Appliances TV  Radio Sets
298,Wholesale-Electronic Parts  Equipment NEC
299,Wholesale-Hardware  Plumbing  Heating Equipment  Supplies
300,Wholesale-Hardware
301,Wholesale-Machinery Equipment  Supplies
302,Wholesale-Construction  Mining (No Petro) Machinery  Equip
303,Wholesale-Industrial Machinery  Equipment
304,Wholesale-Misc Durable Goods
305,Wholesale-Jewelry Watches Precious Stones  Metals
306,Wholesale-Durable Goods NEC
307,Wholesale-Paper  Paper Products
308,Wholesale-Drugs Proprietaries  Druggists' Sundries
309,
310,Wholesale-Apparel Piece Goods  Notions
311,Wholesale-Groceries  Related Products
312,Wholesale-Groceries General Line (merchandise)
313,Wholesale-Farm Product Raw Materials
314,Wholesale-Chemicals  Allied Products
315,Wholesale-Petroleum Bulk Stations  Terminals
316,Wholesale-Petroleum  Petroleum Products (No Bulk Stations)
317,Wholesale-Beer Wine  Distilled Alcoholic Beverages
318,Wholesale-Miscellaneous Non-durable Goods
319,Retail-Building Materials Hardware Garden Supply
320,Retail-Lumber  Other Building Materials Dealers
321,Retail-Mobile Home Dealers
322,Retail-Department Stores
323,Retail-Variety Stores
324,Retail-Misc General Merchandise Stores
325,Retail-Food Stores
326,Retail-Grocery Stores
327,Retail-Convenience Stores
328,Retail-Auto Dealers  Gasoline Stations
329,Retail-Auto  Home Supply Stores
330,Boat Dealers
331,Retail-Apparel  Accessory Stores
332,Retail-Women's Clothing Stores
333,Retail-Family Clothing Stores
334,Retail-Shoe Stores
335,Retail-Home Furniture Furnishings  Equipment Stores
336,Retail-Furniture Stores
337,Retail-Radio TV  Consumer Electronics Stores
338,Retail-Computer  Computer Software Stores
339,Retail-Record  Prerecorded Tape Stores
340,Retail-Eating  Drinking Places
341,Retail-Eating Places
342,Retail-Miscellaneous Retail
343,Retail-Drug Stores and Proprietary Stores
344,Retail-Miscellaneous Shopping Goods Stores
345,Retail-Jewelry Stores
346,Retail-Hobby Toy  Game Shops
347,Retail-Nonstore Retailers
348,
349,Retail-Catalog  Mail-Order Houses
350,Retail-Retail Stores NEC
351,Pay Day Lenders
352,National Commercial Banks
353,State Commercial Banks
354,Commercial Banks NEC
355,Savings Institution Federally Chartered
356,Savings Institutions Not Federally Chartered
357,Functions Related To Depository Banking NEC
358,Federal  Federally Sponsored Credit Agencies
359,Personal Credit Institutions
360,Short-Term Business Credit Institutions
361,Miscellaneous Business Credit Institution
362,Mortgage Bankers  Loan Correspondents
363,Loan Brokers
364,Finance Lessors
365,Asset-Backed Securities
366,Finance Services
367,Security  Commodity Brokers Dealers Exchanges  Services
368,Security Brokers Dealers  Flotation Companies
369,Commodity Contracts Brokers  Dealers
370,Investment Advice
371,Life Insurance
372,Accident  Health Insurance
373,Hospital  Medical Service Plans
374,Fire Marine  Casualty Insurance
375,Surety Insurance
376,Title Insurance
377,Insurance Carriers NEC
378,Insurance Agents Brokers  Service
379,Real Estate
380,Real Estate Operators (No Developers)  Lessors
381,Operators of Nonresidential Buildings
382,Operators of Apartment Buildings
383,Lessors of Real Property NEC
384,Real Estate Agents  Managers (For Others)
385,Real Estate Dealers (For Their Own Account)
386,Land Subdividers  Developers (No Cemeteries)
387,
388,Blank Checks
389,Oil Royalty Traders
390,Patent Owners  Lessors
391,Mineral Royalty Traders
392,Real Estate Investment Trusts
393,Investors NEC
394,Hotels Rooming Houses Camps  Other Lodging Places
395,Hotels  Motels
396,Services-Personal Services
397,Services-Advertising
398,Services-Advertising Agencies
399,Services-Consumer Credit Reporting Collection Agencies
400,Services-Mailing Reproduction Commercial Art  Photography
401,Services-Direct Mail Advertising Services
402,Services-Photocopying and Duplicating Services
403,Services-To Dwellings  Other Buildings
404,Services-Miscellaneous Equipment Rental  Leasing
405,Services-Equipment Rental  Leasing NEC
406,Services-Employment Agencies
407,Services-Help Supply Services
408,Services-Computer Programming Data Processing Etc.
409,Services-Computer Programming Services
410,Services-Prepackaged Software
411,Services-Computer Integrated Systems Design
412,Services-Computer Processing  Data Preparation
413,Services-Computer Rental  Leasing
414,Services-Miscellaneous Business Services
415,Services-Detective Guard  Armored Car Services
416,Services-Photofinishing Laboratories
417,Services-Telephone Interconnect Systems
418,Services-Business Services NEC
419,Services-Automotive Repair Services  Parking
420,Services-Auto Rental  Leasing (No Drivers)
421,Services-Miscellaneous Repair Services
422,Services-Motion Picture  Video Tape Production
